"","title.link","title.name","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel"
"141","flixpatrol.com/title/operation-mincemeat/","Operation Mincemeat",0,2,1,6.6,36,37,3,0
"142","flixpatrol.com/title/marmaduke-2022/","Marmaduke",1,2,1,3.1,26,84.5,3,0
"143","flixpatrol.com/title/den-of-thieves/","Den of Thieves",0,3,1,7,43.3333333333333,95.3333333333333,4,0
"144","flixpatrol.com/title/happy-gilmore/","Happy Gilmore",0,3,1,7,60.6666666666667,38,4,0
"145","flixpatrol.com/title/who-killed-sara/","Who Killed Sara?",1,1,0,6.4,21,96,2,1
"146","flixpatrol.com/title/bling-empire/","Bling Empire",1,2,0,5.8,37,9,3,1
"147","flixpatrol.com/title/workin-moms/","Workin' Moms",1,2,0,7.8,20,72,3,1
"148","flixpatrol.com/title/outlander-2014/","Outlander",0,2,0,8.4,46,66.5,3,1
"149","flixpatrol.com/title/jackass-45/","Jackass 4.5",0,2,1,6.5,21.5,66,2,1
"150","flixpatrol.com/title/ben-is-back/","Ben Is Back",0,1,1,6.7,10,38,1,0
"151","flixpatrol.com/title/our-father-2022/","Our Father",1,3,1,6.6,20.6666666666667,20.3333333333333,3,0
"152","flixpatrol.com/title/toscana/","Toscana",1,1,1,5.7,22,46,1,0
"153","flixpatrol.com/title/fck-love-too/","F*ck Love Too",1,1,1,3.8,22,52,1,0
"154","flixpatrol.com/title/the-boss-baby-back-in-the-crib/","The Boss Baby: Back in the Crib",1,2,0,6.1,29,142.5,2,0
"155","flixpatrol.com/title/the-circle-2020/","The Circle",1,4,0,5.3,34.2,69.4,4,1
"156","flixpatrol.com/title/love-on-the-spectrum-us/","Love on the Spectrum U.S.",1,2,0,8.2,32,90,2,0
"157","flixpatrol.com/title/disappearance-at-clifton-hill/","Disappearance at Clifton Hill",0,1,1,5.4,3,62,0,0
"158","flixpatrol.com/title/anchorman-the-legend-of-ron-burgundy/","Anchorman: The Legend of Ron Burgundy",0,1,1,7.1,66,42,0,0
"159","flixpatrol.com/title/senior-year/","Senior Year",1,4,1,5.5,8.75,75.5,3,0
"160","flixpatrol.com/title/a-perfect-pairing/","A Perfect Pairing",1,3,1,6.1,31.3333333333333,47.3333333333333,2,0
"161","flixpatrol.com/title/we-die-young-2019/","We Die Young",0,1,1,5.2,10,88,0,0
"162","flixpatrol.com/title/top-gun/","Top Gun",0,2,1,8.3,31.5,60,1,0
"163","flixpatrol.com/title/rrr/","RRR",0,2,1,7.9,4,91,1,0
"164","flixpatrol.com/title/charlie-and-the-chocolate-factory/","Charlie and the Chocolate Factory",0,6,1,6.7,70,112.333333333333,1,0
"165","flixpatrol.com/title/wrong-side-of-the-tracks/","Wrong Side of the Tracks",1,3,0,4.9,4.33333333333333,5,2,0
"167","flixpatrol.com/title/dumb-and-dumber/","Dumb and Dumber",0,1,1,7.3,35,40,1,0
"168","flixpatrol.com/title/10000-bc/","10,000 BC",0,1,1,5.1,61,117,1,0
"169","flixpatrol.com/title/the-hurt-locker/","The Hurt Locker",0,1,1,7.5,6,51,1,0
"170","flixpatrol.com/title/mission-impossible/","Mission: Impossible",0,1,1,7.7,34,69,1,0
"171","flixpatrol.com/title/brahms-the-boy-ii/","Brahms: The Boy II",0,1,1,4.7,34,68,1,1
"172","flixpatrol.com/title/the-lincoln-lawyer-2022/","The Lincoln Lawyer",1,5,0,7.7,22.2,83.8,3,0
"173","flixpatrol.com/title/ozark/","Ozark",1,14,0,8.5,22.0714285714286,64.7857142857143,3,1
"174","flixpatrol.com/title/the-amazing-spider-man/","The Amazing Spider-Man",0,3,1,6.9,60.6666666666667,75,0,1
"175","flixpatrol.com/title/mission-impossible-ghost-protocol/","Mission: Impossible - Ghost Protocol",0,2,1,7.4,32.5,70.5,1,1
"176","flixpatrol.com/title/titanic-1997/","Titanic",0,6,1,7.9,59.5,42.5,1,0
"177","flixpatrol.com/title/interceptor/","Interceptor",1,3,1,4.6,23.6666666666667,105.666666666667,0,0
"178","flixpatrol.com/title/collision-2022/","Collision",1,1,1,7.5,27,71,2,0
"179","flixpatrol.com/title/first-kill-2022/","First Kill",1,2,0,5.9,8,81,1,0
"180","flixpatrol.com/title/keep-sweet-pray-and-obey/","Keep Sweet: Pray and Obey",1,2,0,7.3,24.5,18,1,0
"181","flixpatrol.com/title/peaky-blinders/","Peaky Blinders",0,2,0,8.8,24.5,52,1,1
"182","flixpatrol.com/title/chickenhare-and-the-hamster-of-darkness/","Chickenhare and the Hamster of Darkness",0,2,1,6.3,25,109.5,2,0
"183","flixpatrol.com/title/halftime/","Halftime",1,2,1,6.5,22.5,8.5,2,0
"184","flixpatrol.com/title/the-royal-hunt-of-the-sun/","The Royal Hunt of the Sun",1,2,0,6.1,13,69.5,2,0
"185","flixpatrol.com/title/gods-favorite-idiot/","God's Favorite Idiot",1,2,0,5.7,22.5,61,2,0
"186","flixpatrol.com/title/iron-chef-quest-for-an-iron-legend/","Iron Chef: Quest for an Iron Legend",1,1,0,7.1,12,3,2,0
"187","flixpatrol.com/title/the-mist/","The Mist",0,2,1,7.1,43,41.5,2,0
"188","flixpatrol.com/title/hustle-2022/","Hustle",1,4,1,7.3,9.75,74,1,1
"189","flixpatrol.com/title/backtrace/","Backtrace",0,2,1,3.8,11.5,88.5,2,0
"190","flixpatrol.com/title/love-gelato/","Love & Gelato",1,2,1,5.1,31.5,77.5,2,0
"191","flixpatrol.com/title/spiderhead/","Spiderhead",1,3,1,5.4,11,107.333333333333,2,0
"192","flixpatrol.com/title/it/","It",0,3,1,7.3,33.3333333333333,6.33333333333333,2,0
"193","flixpatrol.com/title/old-school/","Old School",0,1,1,7,46,35,1,0
"194","flixpatrol.com/title/snowflake-mountain/","Snowflake Mountain",1,1,0,5.5,22,2,1,0
"195","flixpatrol.com/title/final-score/","Final Score",0,1,1,5.8,16,75,0,0
"196","flixpatrol.com/title/wanted-2009/","Wanted",0,1,1,6.7,63,60,0,0
"197","flixpatrol.com/title/leave-no-trace-2022/","Leave No Trace",0,1,1,7.1,20,60,0,0
"198","flixpatrol.com/title/wild-card-2015/","Wild Card",0,2,1,5.6,14.5,89,1,0
"199","flixpatrol.com/title/the-unxplained/","The UnXplained",0,2,0,7.2,25.5,6,1,0
